id,name,type,study,promotion
Braun,Wernher von Braun,0,1,1
Debus,Kurt Debus,0,1,1
Rudolph ,Arthur Rudolph,0,1,0
Rickhey,Georg Rickhey,0,1,0
Dornberger,Walter Dornberger,0,1,0
Strughold,Hubertus Strughold,0,0,1
Kuettner,Joachim Kuettner,0,1,1
NSDAP,NSDAP,1,NA,NA
SS,SS,1,NA,NA
SA,SA,1,NA,NA
Gestapo,Gestapo,1,NA,NA
NASA,NASA,1,NA,NA
V2,V2,1,NA,NA
US Army,US Army,1,NA,NA
Redstone,Redstone,1,NA,NA
Jupiter,Jupiter,1,NA,NA
Mercury,Mercury,1,NA,NA
Gemini,Gemini,1,NA,NA
Apollo,Apollo,1,NA,NA
Saturn,Saturn,1,NA,NA
Berlin,Berlin,1,NA,NA
Peenemuende,Peenemuende,1,NA,NA
Mittelbau-Dora,Mittelbau-Dora,1,NA,NA
Fort Bliss,Fort Bliss,1,NA,NA
Huntsville,Huntsville,1,NA,NA
Verein fuer Raumschifffahrt,Verein fuer Raumschifffahrt,1,NA,NA
Mitglied,Mitglied,1,NA,NA
technischer Direktor,technischer Direktor,1,NA,NA
Berater,Berater,1,NA,NA
Entwickler,Entwickler,1,NA,NA
Direktor MSFC,Direktor MSFC,1,NA,NA
Leitung,Leitung,1,NA,NA
Mitglied,Mitglied,1,NA,NA
US Navy,US Navy,1,NA,NA
Entwickler Raketenmotoren,Entwickler Raketenmotoren,1,NA,NA
Forschung und Entwicklung,Forschung und Entwicklung,1,NA,NA
Chefdesigner + Leiter technisches Konstruktionsbuero V2,Chefdesigner + Leiter technisches Konstruktionsbuero V2,1,NA,NA
Beaufsichtiger bei Verlegung nach Ebensee,Beaufsichtiger bei Verlegung nach Ebensee,1,NA,NA
Gefangener US-Armee,Gefangener US-Armee,1,NA,NA
Stellvertreter Brauns,Stellvertreter Brauns,1,NA,NA
Betriebsdirektor,Betriebsdirektor,1,NA,NA
Produktionsdirektor,Produktionsdirektor,1,NA,NA
Berater,Berater,1,NA,NA
Stellvertreter Brauns,Stellvertreter Brauns,1,NA,NA
stellvertretender Direktor,stellvertretender Direktor,1,NA,NA
Stellvertreter Brauns,Stellvertreter Brauns,1,NA,NA
Verantwortlicher Saturn-Raketen,Verantwortlicher Saturn-Raketen,1,NA,NA
Direktor MSFC,Direktor MSFC,1,NA,NA
Tessmann,Bernhard Tessmann,0,NA,NA
Rees,Eberhard Rees,0,1,0
Riedel,Walter Riedel,0,1,1
Cape Canaveral,Cape Canaveral,1,NA,NA
Ueberwacher,Ueberwacher,1,NA,NA
Kennedy Space Center,Kennedy Space Center,1,NA,NA
ABMA,ABMA,1,NA,NA
Houston,Houston,1,NA,NA
Koelpinsee,Koelpinsee,1,NA,NA
Deputy Director,Deputy Director,1,NA,NA
Ueberwacher Konstruktion Maschinentests,Uberwacher Konstruktion Maschinentests,1,NA,NA
